Training Error,Testing Error
418.186102,793.523925
406.559043,781.724206
411.914144,783.343212
409.298324,796.062067
423.83098,815.072723
416.172565,808.960968
410.333338,797.805415
423.318183,819.352491
409.420016,795.997856
410.32635,796.249773
402.841674,770.379987
385.621266,786.643539
399.064121,776.383986
397.171004,789.014423
415.459588,783.538131
394.190165,798.953365
432.497803,823.348443
432.671536,809.835638
419.621829,802.727925
406.869933,813.169694
406.149761,799.028714
456.850504,787.72313
401.127018,800.439668
408.82068,794.210739
396.455233,792.177384
387.121022,778.143412
401.22921,776.024116
419.158643,766.051454
401.447558,792.549644
414.836746,763.371933
388.464263,779.252479
406.948465,765.949556
406.31603,758.208595
437.705805,807.155378
419.004787,782.670973
412.541192,778.89199
397.674312,784.144255
411.513895,784.815082
393.619148,783.244686
393.592987,780.257947
397.550689,815.081475
408.998251,783.046806
414.979365,820.772698
392.634508,779.806713
395.830359,788.092305
395.08414,781.828418
396.670154,771.276042
392.508123,756.175627
402.857609,779.027411
385.463684,774.920183
403.428988,781.643501
394.405546,783.270985
410.826724,764.500853
462.554047,852.820709
456.086771,832.638808
400.414586,774.119058
406.341462,793.534318
402.675998,792.965814
417.876986,840.459527
429.28774,825.853422
411.603765,805.434798
415.989755,794.186517
414.593963,817.550989
394.507033,770.146766
397.831058,774.795526
404.984518,782.242794
391.57041,755.618116
396.351133,778.681818
389.643523,765.349493
384.395952,759.864439
386.261623,773.3101
381.791854,768.208897
395.195975,761.226173
389.85542,748.462161
394.090404,769.212736
401.822888,797.433666
409.060776,748.061186
402.164573,781.743242
391.622662,748.371716
398.974699,758.894207
403.04329,768.114125
395.007869,767.085085
404.260445,762.866369
393.078815,809.933621
399.537651,750.063284
385.798846,770.49052
402.709755,757.094109
417.327945,959.661678
433.660922,769.216038
420.670911,756.145671
398.164364,785.304551
400.667035,757.727391
407.879548,788.683859
400.386479,770.572003
396.531485,778.8463
405.352603,794.34003
405.808359,758.62959
402.874777,785.785371
426.684228,808.029357
410.377855,807.991823
403.245219,780.765775
410.315929,744.574375
400.329807,758.254948
393.756001,757.538439
396.488538,763.630306
402.536068,766.911234
412.440977,764.954309
411.083684,761.139738
400.09996,747.295915
395.620064,751.865495
421.666888,798.414647
398.416441,766.405704
399.586912,777.773649
406.398594,785.701786
427.83737,833.93716
464.660283,765.911078
424.408759,835.512553
410.447294,771.674595
407.024457,740.249251
400.42432,830.09136
391.077808,740.229478
389.132127,754.914685
402.925718,753.386205
389.395965,759.53629
393.567529,756.606256
377.342112,759.483088
378.206763,746.943743
388.625831,773.355549
381.364544,746.008615
413.210003,794.878078
394.465908,779.473966
403.052578,755.156405
397.849072,1021.458346
397.110301,772.082571
376.665867,766.746693
398.803444,749.102365
390.835856,781.829405
386.905455,751.271207
395.880795,738.964745
403.42231,753.369354
416.909938,745.600822
388.45613,747.889149
378.865322,768.27193
378.030461,744.039646
385.017442,761.556373
378.19939,770.4282
390.13311,785.976549
387.998964,748.820741
388.747206,788.285584
396.8092,753.407848
383.575723,804.905295
371.631913,759.092528
384.465511,749.98772
381.299961,769.724225
379.176598,779.27059
370.776945,755.445812
392.142363,781.691795
376.579632,784.339974
361.936816,764.818968
372.307641,773.389853
381.438131,741.2877
375.614797,753.108433
388.594606,746.669276
373.606523,765.954527
388.738401,741.167691
390.352933,871.331009
386.847714,752.099045
385.11815,749.735432
384.927851,755.920878
383.17501,780.924233
381.645452,774.300156
386.766716,768.681639
393.636251,765.252388
403.097896,817.133991
384.596367,753.547183
375.447312,762.205216
385.785804,758.744665
366.285362,739.750687
384.516227,747.12804
372.267847,793.352931
399.55886,756.547958
461.888949,770.890702
412.879696,808.408598
379.776907,775.921513
396.72923,778.345394
376.081511,788.528002
370.435253,804.710573
384.721073,748.075688
387.137637,785.216339
375.038102,761.30281
380.224066,789.289462
364.553007,768.014163
372.000026,757.739377
373.221707,773.700144
385.709505,786.34403
386.638684,1126.886016
380.453115,764.22929
384.672927,748.787271
424.097448,805.429443
410.416942,770.108094
399.679495,774.601977
430.148559,771.284546
455.219198,838.991615
411.049169,806.093725
390.448545,804.148066
397.465995,765.658674
384.499861,772.22609
399.440315,802.71634
381.989249,769.333887
399.320759,775.180005
407.338527,735.416027
388.874979,767.5518
379.340217,758.055831
381.387007,761.005273
388.876348,777.536368
413.773123,762.995708
427.144582,777.563339
394.6047,907.403441
382.920768,763.858828
369.269874,783.383351
378.679843,773.100064
388.841295,766.285214
381.191548,756.329463
384.583405,768.039928
388.400735,785.666703
386.819262,753.439193
378.794209,793.255073
389.810006,756.415998
374.330273,778.132595
383.578251,751.014478
378.016774,769.77796
387.976273,760.10954
375.65476,776.444842
374.569852,775.827784
387.293295,768.738255
385.819354,762.745567
370.859664,789.252856
367.583022,795.521318
387.632699,770.339062
386.152215,765.01104
391.287943,763.778513
394.71489,760.326755
388.010871,777.400029
386.091593,760.328183
378.729942,772.157582
379.527522,776.601042
381.566091,756.02739
386.031505,761.491481
381.053381,754.478521
376.139752,802.796985
377.7647,754.370776
377.141048,843.967621
388.659046,786.009246
371.547168,786.44733
374.083261,769.38419
367.204929,793.038269
396.974471,762.625765
372.291089,786.39406
375.116242,786.821626
386.042259,783.495603
387.620166,782.351956
380.260176,799.713223
373.360998,786.318302
381.203286,818.119305
364.510818,791.131045
378.079507,759.185113
379.519981,776.24788
381.53677,776.721259
376.002613,767.036575
387.001266,745.22484
381.741885,763.605523
390.911774,776.942894
373.982154,759.024922
366.682179,763.320101
373.336934,759.806772
381.370032,752.983205
366.746832,787.682837
372.337507,769.066371
379.255852,764.021421
379.543407,770.339437
375.010965,784.082773
377.95515,783.630996
378.099915,781.490424
375.374694,761.544162
374.915787,816.471038
375.737205,776.696886
374.265329,777.839298
378.099045,777.363203
387.275777,767.883825
370.111015,746.37537
367.924424,766.194126
371.233789,766.397242
362.765042,786.378727
378.848031,827.368216
382.408344,820.939725
375.624409,789.229376
379.498203,776.434712
388.520365,784.513871
372.364414,813.421727
365.068101,761.515437
373.745371,845.789628
398.107196,830.182601
396.761036,796.223206
374.240713,764.85151
372.956173,788.58607
366.227342,821.239774
383.488651,772.27235
363.05487,792.727052
373.802351,776.862418
382.765874,777.653624
372.844458,764.663516
368.868795,769.651211
380.11842,783.639144
386.302134,781.05544
366.515526,761.728097
366.523369,774.037629
391.392384,769.782256
376.390162,756.922089
407.47346,788.90341
369.808585,795.687187
370.591641,810.044843
385.109736,783.442576
376.421177,833.08024
376.521848,776.73845
369.173647,809.643292
368.50013,785.282491
374.491121,851.066328
377.621025,794.2077
356.813601,807.253177
369.769129,830.195316
385.620789,829.182446
373.433516,790.175488
375.812421,776.465375
380.500555,791.337644
378.234269,768.164402
395.537984,773.783611
366.41221,805.661123
365.347961,819.972602
375.877066,762.339121
375.264506,794.912899
360.250686,764.176886
359.762837,765.974728
370.408369,791.469208
367.304039,863.2216
373.00741,771.422571
376.249187,781.847196
370.591616,817.178106
373.760489,770.177694
369.821564,781.211446
365.030332,819.713512
368.644367,785.562278
367.779272,784.027743
366.630317,779.440084
369.743845,761.231566
366.482054,789.11802
378.318607,774.502028
383.689095,788.827618
384.453616,764.295939
378.080303,759.704556
373.420609,799.423105
360.268543,809.85304
377.401876,802.67998
372.428322,813.532572
361.299766,856.246058
371.373469,802.24602
375.765298,801.973581
358.278456,770.369201
372.452108,839.203828
377.006574,759.96882
363.098591,783.461096
381.680393,774.486193
368.599535,839.150166
367.361277,802.312461
364.754991,779.464903
375.76624,774.593986
373.289056,781.365233
380.819155,775.701236
366.295117,784.894553
357.029803,769.962871
368.634846,775.96088
370.683248,808.861768
375.820379,767.938182
370.15244,790.086947
377.627274,801.044442
372.024664,771.659597
355.282437,775.11964
364.523345,823.922333
367.498245,761.862258
363.292701,784.152457
360.414136,759.202874
363.246566,777.455774
372.603304,831.32806
364.116783,782.026866
376.604526,814.751777
367.353511,768.968666
367.630846,743.903087
366.271916,824.345179
364.001446,767.872741
361.45499,785.817406
365.130696,766.949773
370.351668,783.887271
369.286112,777.108267
387.957762,763.882023
373.080224,801.151498
362.320056,782.874112
360.059094,779.312409
360.669252,771.309824
379.227468,797.355642
365.966977,803.541468
352.145623,778.920805
363.024238,788.680104
366.560843,775.713021
369.224184,790.988484
396.223311,795.982424
430.983378,783.115191
396.506807,781.267971
396.819774,787.42158
361.1889,837.120729
359.846102,776.432088
375.742236,784.81898
352.684276,785.737715
355.289565,791.50654
356.704461,767.287327
368.240591,787.744563
359.647656,764.791318
374.654152,771.279074
368.029678,747.56094
361.248125,778.809262
368.161906,809.658818
369.955474,831.040079
362.342573,830.356115
359.120893,764.999172
381.742555,764.871065
387.728615,772.483814
370.203365,782.501438
360.908924,805.49144
372.117335,800.457124
365.569161,856.623562
378.055772,788.140179
360.492064,805.627656
369.111434,873.204586
359.359119,773.04714
365.434765,843.942915
366.391817,832.201655
368.59701,839.922013
367.361674,855.867123
377.469578,781.425287
365.046788,781.917365
380.235253,771.080576
368.921746,784.605748
355.212453,780.572978
360.725845,811.130901
358.708716,787.384431
362.420432,788.55615
359.890332,795.928434
360.418607,786.767876
362.277424,842.47992
367.538221,844.140987
360.686738,860.637118
360.447033,828.66706
356.788307,786.682503
353.031237,864.529613
366.38939,791.541578
383.623126,800.758117
364.994889,803.935773
362.671424,795.36257
370.303956,868.325668
373.802355,793.90485
358.323352,773.702274
373.69475,775.678021
373.905285,803.935054
352.021025,787.66899
372.390841,796.658394
356.641782,801.037891
366.43831,776.140939
369.906281,772.076491
354.438479,778.663248
352.629281,826.087053
364.001177,845.750268
372.126023,766.070556
373.443922,827.571039
357.269547,778.631816
355.618416,772.154598
384.123206,779.183836
391.900709,823.501642
357.050851,778.816943
362.908512,794.768306
375.385433,801.929395
383.523575,787.248251
360.502638,828.730911
374.581231,848.849108
363.718179,816.845343
363.046259,775.393278
361.519753,784.529001
366.152501,808.362651
369.729205,785.268904
370.535753,799.215923
363.908392,777.848912
353.060008,867.443527
366.406738,799.805055
366.323191,783.385967
365.08454,802.772219
378.272371,805.608818
366.628674,852.616088
359.36373,817.69045
370.620321,834.124154
360.010808,778.673303
383.137638,810.765489
379.578375,868.529681
372.514184,802.510321
367.878931,762.603538
369.832779,776.344364
373.098124,825.461606
379.271097,832.173207
375.191704,765.402141
360.583238,801.619094
371.071905,810.808801
367.916108,810.132019
375.494462,836.493185
365.316274,814.460956
355.648152,794.753469
366.067954,797.347398
365.3635,794.119573
364.088263,865.522057
,795.467483
