Training Error,Testing Error
495.715231,685.548204
479.425794,719.952558
498.575819,670.509152
498.51341,713.707061
486.924641,680.144611
481.609627,707.907654
491.09959,701.846608
499.898765,719.195174
495.310122,700.368058
494.287642,715.390265
502.196936,726.795568
486.216617,694.614198
496.30057,679.300428
480.048419,675.896275
490.064259,726.139974
491.967437,704.729041
498.092948,723.432923
489.203002,691.281697
480.674414,710.46574
498.443923,730.01189
493.109553,670.486951
490.51473,688.460043
484.664192,765.31407
483.217671,729.257378
492.173019,688.395074
487.706203,709.842183
474.932357,709.960919
520.255865,696.94406
471.902431,686.511233
476.091669,721.119282
482.666397,743.017413
474.519205,709.724011
507.857761,667.311048
481.706552,703.236234
480.226785,667.568925
474.143093,693.420743
473.365957,675.296965
477.507316,659.470868
483.93764,698.974668
471.436611,649.980344
474.295178,667.645355
480.981807,713.005365
465.49865,702.354678
505.022061,676.747979
510.533363,725.56886
477.317134,660.027701
481.064113,712.710382
469.207205,699.876403
470.28993,739.443715
482.689332,700.065604
483.83706,657.742025
472.945743,642.22865
479.785054,679.554695
465.86656,677.063013
474.085528,662.538323
498.21914,665.212318
497.842189,660.944542
485.298023,682.595476
476.214034,703.454492
440.722616,658.728183
459.117441,654.362928
464.922114,734.899381
463.275927,650.432393
466.6578,662.090946
461.004315,666.72525
459.173605,653.476714
464.123723,652.497694
438.588356,667.195926
452.156079,652.716522
448.11547,635.710766
451.896579,628.164431
457.814207,655.876108
447.27546,653.883131
455.73395,653.133296
463.939647,689.927882
476.083115,691.760968
433.609156,650.521941
437.25229,664.505643
454.186295,689.476124
458.550794,666.429991
438.26574,656.255897
444.883635,636.576231
435.003673,672.169782
439.000881,661.313199
451.671115,663.350458
442.777726,668.864234
454.355732,644.832217
440.11057,651.438913
437.001391,646.296353
442.909824,645.953197
458.893048,677.309034
429.125652,648.92108
443.822447,653.408596
468.363864,653.730454
455.804605,692.473864
443.32699,639.052783
441.259743,661.325463
438.887455,653.2215
426.037134,645.782737
438.399004,659.173023
450.085457,643.820095
438.879861,651.020334
436.367336,649.085547
438.454883,642.798257
443.44669,643.867876
432.664218,664.732911
444.411256,642.197772
469.312753,643.875581
433.781196,643.864039
437.708898,641.150475
427.819003,609.903512
437.740479,644.00407
435.930985,634.214363
451.634052,639.584766
447.510844,707.352232
435.24027,664.423627
436.629038,652.191565
423.406237,636.208534
421.438885,645.643979
427.574467,634.262829
432.527926,648.447685
448.567819,628.340858
444.424482,653.529196
428.733495,630.084149
420.12445,649.188449
431.526185,640.70205
436.016724,652.402604
436.144579,657.306149
423.406932,633.798576
419.325377,635.658842
426.573639,632.10048
424.748484,655.475417
413.778167,625.409113
413.715889,636.701387
433.272841,644.007494
438.854946,691.721763
437.945915,625.157799
419.435429,638.086664
437.571534,634.814174
457.441471,622.041707
416.366084,610.036871
428.551152,631.006392
429.009767,637.930726
454.282959,613.742365
449.73518,634.498126
427.834168,650.104219
433.304396,643.9101
447.123871,617.028355
431.267959,618.881323
430.299507,627.126188
434.883475,654.985391
437.319023,631.291609
437.46366,634.141774
425.667867,681.648719
454.98351,615.945994
441.818742,681.386961
423.501674,619.212347
430.516172,627.139675
422.199543,636.18575
422.600263,609.762329
440.279904,616.463196
423.055767,624.020039
434.690521,664.051929
432.41275,660.147487
415.283814,628.752494
418.219997,660.902873
420.079505,619.342116
416.548581,682.185771
416.155265,624.15192
438.357002,612.188247
415.767618,638.246398
435.527793,642.140321
449.293894,666.840372
455.091561,670.154994
444.495964,620.444426
416.773311,621.547521
431.157096,633.875146
432.835028,652.542603
421.912208,613.248364
416.552392,673.860094
429.019027,621.497294
454.011314,631.716087
453.547485,639.065501
423.787887,639.608524
415.427607,667.671048
433.475171,638.984893
426.389088,620.959026
449.170455,646.066516
423.289638,645.351257
412.404545,626.638025
444.124208,637.362008
436.560411,640.235613
427.166409,611.485503
425.465551,630.681908
434.937229,665.16411
430.871156,645.829425
417.94429,619.281112
422.268944,649.170505
405.761066,643.604417
438.349207,638.444243
421.168328,664.169275
442.473241,637.747917
425.919488,646.130243
418.965313,654.18397
429.635177,647.17831
413.827602,623.988581
427.601829,632.809173
423.126664,636.23995
427.101163,622.740399
421.664541,623.429382
418.490266,626.57502
424.373157,623.657718
463.428038,615.945432
425.480046,628.186613
418.286077,694.286511
430.640581,625.729997
425.908344,635.663654
432.617973,661.704452
440.341993,654.276267
416.318793,652.506985
438.058361,648.607837
443.198668,628.540787
454.683845,652.297294
464.467425,687.60638
442.984924,636.282779
448.425079,661.041645
456.138144,683.715336
428.554932,622.546125
443.561059,654.348521
435.69828,619.899723
436.382781,620.797561
459.386965,635.56336
463.405534,721.634634
413.400957,639.36868
418.110179,677.498997
440.366001,658.19437
403.074588,623.361211
425.493946,626.43709
428.613453,659.522524
414.96719,659.267659
414.548578,647.143653
418.846832,645.219375
427.938688,635.258463
416.836845,627.376482
428.52824,655.198442
413.236072,637.638359
424.729314,609.884564
411.842674,613.726001
431.177938,614.668567
436.376885,616.357081
421.903968,634.490374
428.45926,645.557461
423.696135,631.817659
419.979548,642.224497
427.549293,634.662821
412.918872,630.194895
402.001219,643.108194
410.713238,627.244111
423.281375,605.399457
417.267337,642.035009
428.295883,655.979765
405.579351,599.16857
418.388869,646.576609
421.830214,656.680206
459.799265,639.073036
435.854639,672.66465
431.851151,633.109127
416.806063,673.15565
400.487945,664.091419
395.916235,633.311748
421.933932,652.363503
413.490637,660.160322
419.207655,648.156125
422.163031,649.568415
414.834353,618.417262
425.863226,659.631065
404.423995,629.075491
424.071227,627.143694
441.859501,641.858404
404.329108,623.282324
402.064878,649.318124
415.442963,639.009744
487.371542,642.235733
459.595464,705.937059
439.895739,643.453779
453.962264,639.627533
448.992591,680.348443
455.194123,689.506543
424.938416,645.955077
,652.851456
